"name","amount","district"
"全國不分區","34","尤美女 王育敏 王金平 王榮璋 余宛如 吳玉琴 吳志揚 吳焜裕 李應元 李鴻鈞 谷辣斯．尤達卡Kolas．Yotaka 周春米 周陳秀霞 林靜儀 林麗蟬 柯志恩 段宜康 徐永明 徐國勇 徐榛蔚 陳其邁 陳宜民 陳怡潔 陳曼麗 高潞．以用．巴魕剌Kawlo．Iyun．Pacidal 張麗善 許毓仁 曾銘宗 黃昭順 蔡培慧 鄭麗君 鍾孔炤 蘇嘉全 顧立雄"
"中和區","3","江永昌 江啟臣 林德福"
"山地原住民","3","孔文吉 高金素梅 簡東明Uliw．Qaljupayare"
"平地原住民","3","陳瑩 廖國棟Sufin．Siluko 鄭天財Sra．Kacaw"
"板橋區","3","何欣純 張宏陸 羅致政"
"三民區","2","李昆澤 管碧玲"
"三重區","2","林淑芬 高志鵬"
"中壢區","2","陳學聖 趙正宇"
"中正區","2","林昶佐 賴士葆"
"前鎮區","2","趙天麟 賴瑞隆"
"北區","2","陳亭妃 盧秀燕"
"南區","2","林俊憲 黃國書"
"士林區","2","吳思瑤 姚文智"
"大安區","2","蔡其昌 蔣乃辛"
"新莊區","2","吳秉叡 蘇巧慧"
"東區","2","林俊憲 黃國書"
"松山區","2","費鴻泰 蔣萬安"
"桃園區","2","鄭運鵬 鄭寶清"
"七股區","1","黃偉哲"
"三地門鄉","1","蘇震清"
"三峽區","1","吳琪銘"
"三灣鄉","1","徐志榮"
"三義鄉","1","陳超明"
"三芝區","1","呂孫綾"
"下營區","1","葉宜津"
"中區","1","黃國書"
"中埔鄉","1","陳明文"
"中寮鄉","1","馬文君"
"中山區","1","蔣萬安"
"中西區","1","陳亭妃"
"九如鄉","1","蘇震清"
"二崙鄉","1","劉建國"
"二林鎮","1","洪宗熠"
"二水鄉","1","陳素月"
"五股區","1","林淑芬"
"仁德區","1","王定宇"
"仁愛鄉","1","馬文君"
"仁武區","1","林岱樺"
"伸港鄉","1","王惠美"
"佳冬鄉","1","莊瑞雄"
"佳里區","1","黃偉哲"
"來義鄉","1","莊瑞雄"
"信義區","1","費鴻泰"
"信義鄉","1","許淑華"
"元長鄉","1","蘇治芬"
"內埔鄉","1","蘇震清"
"內湖區","1","李彥秀"
"內門區","1","邱議瑩"
"八德區","1","趙正宇"
"八里區","1","呂孫綾"
"公館鄉","1","徐志榮"
"六甲區","1","葉宜津"
"六腳鄉","1","蔡易餘"
"六龜區","1","邱議瑩"
"前金區","1","趙天麟"
"北屯區","1","盧秀燕"
"北投區","1","吳思瑤"
"北斗鎮","1","洪宗熠"
"北港鎮","1","蘇治芬"
"北門區","1","葉宜津"
"卓蘭鎮","1","徐志榮"
"南化區","1","黃偉哲"
"南屯區","1","張廖萬堅"
"南州鄉","1","莊瑞雄"
"南庄鄉","1","徐志榮"
"南投市","1","許淑華"
"南投縣第1選舉區","1","馬文君"
"南投縣第2選舉區","1","許淑華"
"南港區","1","李彥秀"
"口湖鄉","1","蘇治芬"
"古坑鄉","1","劉建國"
"名間鄉","1","許淑華"
"后里區","1","洪慈庸"
"和美鎮","1","王惠美"
"員林鎮","1","陳素月"
"善化區","1","黃偉哲"
"嘉義市選舉區","1","李俊俋"
"嘉義縣第1選舉區","1","蔡易餘"
"嘉義縣第2選舉區","1","陳明文"
"四湖鄉","1","蘇治芬"
"國姓鄉","1","馬文君"
"土城區","1","吳琪銘"
"土庫鎮","1","蘇治芬"
"坪林區","1","羅明才"
"埔心鄉","1","洪宗熠"
"埔里鎮","1","馬文君"
"埔鹽鄉","1","洪宗熠"
"埤頭鄉","1","洪宗熠"
"基隆市選舉區","1","蔡適應"
"外埔區","1","蔡其昌"
"大內區","1","黃偉哲"
"大同區","1","姚文智"
"大園區","1","陳賴素美"
"大城鄉","1","洪宗熠"
"大埔鄉","1","陳明文"
"大埤鄉","1","劉建國"
"大寮區","1","林岱樺"
"大村鄉","1","陳素月"
"大林鎮","1","陳明文"
"大樹區","1","邱議瑩"
"大湖鄉","1","徐志榮"
"大溪區","1","趙正宇"
"大甲區","1","蔡其昌"
"大社區","1","邱議瑩"
"大肚區","1","顏寬恒"
"大雅區","1","洪慈庸"
"太保市","1","蔡易餘"
"學甲區","1","葉宜津"
"安南區","1","陳亭妃"
"安定區","1","黃偉哲"
"安平區","1","林俊憲"
"官田區","1","葉宜津"
"宜蘭縣選舉區","1","陳歐珀"
"將軍區","1","葉宜津"
"小港區","1","賴瑞隆"
"屏東市","1","鍾佳濱"
"屏東縣第1選舉區","1","蘇震清"
"屏東縣第2選舉區","1","鍾佳濱"
"屏東縣第3選舉區","1","莊瑞雄"
"山上區","1","黃偉哲"
"岡山區","1","邱志偉"
"崁頂鄉","1","莊瑞雄"
"崙背鄉","1","劉建國"
"左營區","1","劉世芳"
"左鎮區","1","黃偉哲"
"布袋鎮","1","蔡易餘"
"平溪區","1","黃國昌"
"平鎮區","1","呂玉玲"
"彌陀區","1","邱志偉"
"彰化市","1","黃秀芳"
"彰化縣第1選舉區","1","王惠美"
"彰化縣第2選舉區","1","黃秀芳"
"彰化縣第3選舉區","1","洪宗熠"
"彰化縣第4選舉區","1","陳素月"
"後壁區","1","葉宜津"
"後龍鎮","1","陳超明"
"復興區","1","趙正宇"
"恆春鎮","1","莊瑞雄"
"文山區","1","賴士葆"
"斗六市","1","劉建國"
"斗南鎮","1","劉建國"
"新化區","1","黃偉哲"
"新北市第10選舉區","1","吳琪銘"
"新北市第11選舉區","1","羅明才"
"新北市第12選舉區","1","黃國昌"
"新北市第1選舉區","1","呂孫綾"
"新北市第2選舉區","1","林淑芬"
"新北市第3選舉區","1","高志鵬"
"新北市第4選舉區","1","吳秉叡"
"新北市第5選舉區","1","蘇巧慧"
"新北市第6選舉區","1","張宏陸"
"新北市第7選舉區","1","羅致政"
"新北市第8選舉區","1","江永昌"
"新北市第9選舉區","1","林德福"
"新園鄉","1","莊瑞雄"
"新埤鄉","1","莊瑞雄"
"新屋區","1","陳賴素美"
"新市區","1","黃偉哲"
"新店區","1","羅明才"
"新港鄉","1","陳明文"
"新營區","1","葉宜津"
"新竹市選舉區","1","柯建銘"
"新竹縣選舉區","1","林為洲"
"新興區","1","趙天麟"
"旗山區","1","邱議瑩"
"旗津區","1","管碧玲"
"春日鄉","1","莊瑞雄"
"朴子市","1","蔡易餘"
"杉林區","1","邱議瑩"
"東勢鄉","1","蘇治芬"
"東山區","1","葉宜津"
"東港鎮","1","莊瑞雄"
"東石鄉","1","蔡易餘"
"枋寮鄉","1","莊瑞雄"
"枋山鄉","1","莊瑞雄"
"林內鄉","1","劉建國"
"林口區","1","呂孫綾"
"林園區","1","林岱樺"
"林邊鄉","1","莊瑞雄"
"柳營區","1","葉宜津"
"桃園市第1選舉區","1","鄭運鵬"
"桃園市第2選舉區","1","陳賴素美"
"桃園市第3選舉區","1","陳學聖"
"桃園市第4選舉區","1","鄭寶清"
"桃園市第5選舉區","1","呂玉玲"
"桃園市第6選舉區","1","趙正宇"
"桃源區","1","邱議瑩"
"梅山鄉","1","陳明文"
"梓官區","1","邱志偉"
"梧棲區","1","蔡其昌"
"楊梅區","1","陳賴素美"
"楠梓區","1","劉世芳"
"楠西區","1","黃偉哲"
"樹林區","1","蘇巧慧"
"橋頭區","1","邱志偉"
"歸仁區","1","王定宇"
"民雄鄉","1","陳明文"
"水上鄉","1","蔡易餘"
"水林鄉","1","蘇治芬"
"水里鄉","1","許淑華"
"永和區","1","林德福"
"永安區","1","邱志偉"
"永康區","1","王定宇"
"永靖鄉","1","陳素月"
"汐止區","1","黃國昌"
"沙鹿區","1","顏寬恒"
"泰安鄉","1","徐志榮"
"泰山區","1","呂孫綾"
"泰武鄉","1","蘇震清"
"淡水區","1","呂孫綾"
"深坑區","1","羅明才"
"清水區","1","蔡其昌"
"湖內區","1","邱志偉"
"溪口鄉","1","陳明文"
"溪州鄉","1","洪宗熠"
"溪湖鎮","1","洪宗熠"
"滿州鄉","1","莊瑞雄"
"潭子區","1","洪慈庸"
"潮州鎮","1","蘇震清"
"澎湖縣選舉區","1","楊曜"
"烏來區","1","羅明才"
"烏日區","1","顏寬恒"
"燕巢區","1","邱議瑩"
"牡丹鄉","1","莊瑞雄"
"獅子鄉","1","莊瑞雄"
"獅潭鄉","1","徐志榮"
"玉井區","1","黃偉哲"
"琉球鄉","1","莊瑞雄"
"瑞芳區","1","黃國昌"
"瑪家鄉","1","蘇震清"
"田中鎮","1","陳素月"
"田寮區","1","邱議瑩"
"田尾鄉","1","陳素月"
"甲仙區","1","邱議瑩"
"番路鄉","1","陳明文"
"白河區","1","葉宜津"
"石碇區","1","羅明才"
"石門區","1","呂孫綾"
"社頭鄉","1","陳素月"
"神岡區","1","洪慈庸"
"福興鄉","1","王惠美"
"秀水鄉","1","王惠美"
"竹南鎮","1","陳超明"
"竹塘鄉","1","洪宗熠"
"竹山鎮","1","許淑華"
"竹崎鄉","1","陳明文"
"竹田鄉","1","蘇震清"
"線西鄉","1","王惠美"
"美濃區","1","邱議瑩"
"義竹鄉","1","蔡易餘"
"臺中市第1選舉區","1","蔡其昌"
"臺中市第2選舉區","1","顏寬恒"
"臺中市第3選舉區","1","洪慈庸"
"臺中市第4選舉區","1","張廖萬堅"
"臺中市第5選舉區","1","盧秀燕"
"臺中市第6選舉區","1","黃國書"
"臺中市第7選舉區","1","何欣純"
"臺中市第8選舉區","1","江啟臣"
"臺北市第1選舉區","1","吳思瑤"
"臺北市第2選舉區","1","姚文智"
"臺北市第3選舉區","1","蔣萬安"
"臺北市第4選舉區","1","李彥秀"
"臺北市第5選舉區","1","林昶佐"
"臺北市第6選舉區","1","蔣乃辛"
"臺北市第7選舉區","1","費鴻泰"
"臺北市第8選舉區","1","賴士葆"
"臺南市第1選舉區","1","葉宜津"
"臺南市第2選舉區","1","黃偉哲"
"臺南市第3選舉區","1","陳亭妃"
"臺南市第4選舉區","1","林俊憲"
"臺南市第5選舉區","1","王定宇"
"臺東縣選舉區","1","劉櫂豪"
"臺西鄉","1","蘇治芬"
"芬園鄉","1","黃秀芳"
"花壇鄉","1","黃秀芳"
"花蓮縣選舉區","1","蕭美琴"
"芳苑鄉","1","洪宗熠"
"苑裡鎮","1","陳超明"
"苓雅區","1","趙天麟"
"苗栗市","1","徐志榮"
"苗栗縣第1選舉區","1","陳超明"
"苗栗縣第2選舉區","1","徐志榮"
"茂林區","1","邱議瑩"
"茄萣區","1","邱志偉"
"草屯鎮","1","馬文君"
"莿桐鄉","1","劉建國"
"萬丹鄉","1","鍾佳濱"
"萬巒鄉","1","蘇震清"
"萬華區","1","林昶佐"
"萬里區","1","黃國昌"
"蘆洲區","1","林淑芬"
"蘆竹區","1","鄭運鵬"
"虎尾鎮","1","蘇治芬"
"褒忠鄉","1","蘇治芬"
"西區","1","黃國書"
"西屯區","1","張廖萬堅"
"西港區","1","黃偉哲"
"西湖鄉","1","陳超明"
"西螺鎮","1","劉建國"
"觀音區","1","陳賴素美"
"貢寮區","1","黃國昌"
"路竹區","1","邱志偉"
"車城鄉","1","莊瑞雄"
"通霄鎮","1","陳超明"
"造橋鄉","1","陳超明"
"連江縣選舉區","1","陳雪生"
"那瑪夏區","1","邱議瑩"
"里港鄉","1","蘇震清"
"金山區","1","黃國昌"
"金門縣選舉區","1","楊鎮浯"
"銅鑼鄉","1","陳超明"
"長治鄉","1","蘇震清"
"關廟區","1","王定宇"
"阿蓮區","1","邱議瑩"
"阿里山鄉","1","陳明文"
"集集鎮","1","許淑華"
"雙溪區","1","黃國昌"
"雲林縣第1選舉區","1","蘇治芬"
"雲林縣第2選舉區","1","劉建國"
"霧峰區，大里區","1","顏寬恒"
"霧臺鄉","1","蘇震清"
